PAC	Operation_Code	Count_of_Operations	Sum_of_Hours	percent_hours
82R833	52	49	11.20	0.00
96T800	02	2	11.20	0.00
71003E	84	4	11.30	0.00
07844	21	23	11.40	0.00
03803B	13	2	11.50	0.00
45R800	17	3	11.50	0.00
82Z800	17	4	11.50	0.00
88D159	31	23	11.50	0.00
88D199	31	23	11.50	0.00
88D268	31	23	11.50	0.00
96001	83	1	11.50	0.00
42R845	21	17	11.60	0.00
03037D	52	110	11.90	0.00
03819	41	2	12.00	0.00
03819C	53	2	12.00	0.00
03842	01	3	12.00	0.00
03847	84	1	12.00	0.00
03F846	83	1	12.00	0.00
04004U	31	3	12.00	0.00
04R824	92	1	12.00	0.00
09803	92	2	12.00	0.00
18029F	15	1	12.00	0.00
18R800	13	2	12.00	0.00
18R800	83	4	12.00	0.00
41002B	31	1	12.00	0.00
41811	84	2	12.00	0.00
41811	92	3	12.00	0.00
42001H	83	2	12.00	0.00
42R800	14	2	12.00	0.00
48001	13	4	12.00	0.00
52R800	83	1	12.00	0.00
56843	31	1	12.00	0.00
56D015	43	1	12.00	0.00
56R801	15	2	12.00	0.00
56R803	31	3	12.00	0.00
56R814	31	1	12.00	0.00
56R834	92	2	12.00	0.00
68001	14	17	12.00	0.00
71004	15	1	12.00	0.00
71004	96	1	12.00	0.00
71009	01	2	12.00	0.00
71009	96	1	12.00	0.00
71R801	92	2	12.00	0.00
71R844	83	2	12.00	0.00
71V800	83	1	12.00	0.00
81Z800	17	2	12.00	0.00
83809	84	1	12.00	0.00
86006E	43	1	12.00	0.00
88D193	31	24	12.00	0.00
88D214	31	24	12.00	0.00
88R046	01	1	12.00	0.00
99R006	01	2	12.00	0.00
03R843	12	3	12.10	0.00
63R800	86	9	12.10	0.00
82013	31	1	12.10	0.00
04842A	12	2	12.50	0.00
56014A	21	20	12.50	0.00
71003C	92	2	12.50	0.00
82R831	31	5	12.50	0.00
83001	13	3	12.60	0.00
83R800	33	6	12.60	0.00
86R800	14	9	12.60	0.00
03F836	95	7	12.80	0.00
03003A	83	2	13.00	0.00
03844	95	3	13.00	0.00
04R800	17	2	13.00	0.00
